Thing Type Code,Thing Serial,Thing Name,Owner Group,Alias Config,Retail_ClassCode,Retail_ClassName,Retail_Color,Retail_DepartmentName,Retail_DepartmentCode,Retail_Dimension,Retail_ExternalSKU,Retail_ImageURL,Retail_IsRFID,Retail_Manufacturer,Retail_SKU,Retail_SKUOriginal,Retail_UOM,Retail_SKUDescription,Retail_Style,Retail_SubClassCode,Retail_SubClassName,Retail_GTIN,Retail_CompanyPrefix,Retail_Size,Retail_Brand,Retail_BusinessGroupName,Retail_BusinessGroupCode,Retail_SalesFloorTargetQty,Retail_FloorPadDesc,Retail_FloorPadID,Retail_GTINPosition_3_7,Retail_RangeActiveInd,Retail_RangeEnd,Retail_RangeStart,Retail_Active,Retail_PutAwayCode,Retail_BoxID,Retail_WideorRegularInd,tsMongoIn,source,tsCoreIn,tsEdgeIn,ViZix_Unused,Retail_MajorClassId,Retail_CustomerStyleId,Retail_MajorClassCode,Retail_MajorClassName,Retail_GTINPosition_2_8,Retail_GTINPosition_9_13,Retail_UPCNumber,Retail_FileName,Retail_Brand_Code,Retail_Style_Code,Retail_Weight_Gross_Unit,Retail_Weight_Gross_Value,Retail_Weight_Net_Unit,Retail_Weight_Net_Value,Retail_Update_Time,Retail_Option_Code,Retail_Option_Label,Retail_Season_Code,Retail_Season_Label,Retail_Season_Madein_Code,Retail_Season_Madein_Label,Retail_Mate_Bundle,Retail_Extension,Retail_Price,Retail_VPN,Retail_Product_Code,Retail_Recommendations,Retail_Color_Code,Retail_Size_Code,Retail_ImageURLDesktop,Retail_ImageURLMobile,Retail_GTINOriginal,Retail_Product_Description,Retail_SKUDescriptionFull,Retail_Type,Retail_Tax,Retail_Classification,Retail_Alternative,Retail_Xtra_idtSepSorter,Retail_Xtra_idtInstabSorter,Retail_CategoryCode,Retail_Category,Retail_History,Retail_SubStyle,Retail_Week,Retail_Year,Retail_PriceOriginal,Retail_ToBeDeletedFlag,minLifespanFromArrival,minLifespanFromProduction,minLifespanFromTimeOfPacking,expiringDaysBeforeExpiration
PRODUCT,00001234567890,00001234567890,>CENT,,,,blue,,,,,,false,,,,,,,,,00001234567890,,eme,,,,,,,,,,,,,,,2020-04-26T19:59:42.499-0300,SERVICES,2020-04-26T19:59:42.392-0300,2020-02-28T11:15:15.909-0300,,,,,,,,,,,,,,,,,,,,,,,,,"[{""value"":27.99,""currency"":""USD"",""location"":""usa""}]",,,,,,,,1234567890,,,,,,,,,,,,,,,"27,99",false,,,,
PRODUCT,00026388287291,00026388287291,>CENT,,0005,,NAO SE APLICA,,,,,http://imgcentauro-a.akamaihd.net/900x900/50013500.jpg,false,,500135003230,500135003230,TUB,BOLA TEN WILSON,CHAMPIONSHIP WRT1001,0178,BOLA TENIS WILSON CHAMPIONSHIP WRT1001 WILSON,00026388287291,,OFI,WILSON,ACESSORIOS,0004,,,,,,,,S,,,,2020-11-12T00:00:02.939-0300,FTPBRIDGEPRODUCTS,2020-11-12T00:00:01.283-0300,2020-11-12T00:00:00.822-0300,,,,,,,,,,0015,CHAMPIONSHIP WRT1001,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,00,323,,,26388287291,,BOLA TENIS WILSON CHAMPIONSHIP WRT1001,R,0,9506.61.00,00054151,N,N,0102,RACKET,NSA,OTHER,46,20,0,false,,,,
PRODUCT,00263882087297,00263882087297,>CENT,,0005,,NAO SE APLICA,,,,,http://imgcentauro-a.akamaihd.net/900x900/50013500.jpg,false,,500135003230,500135003230,TUB,BOLA TEN WILSON,CHAMPIONSHIP WRT1001,0178,BOLA TENIS WILSON CHAMPIONSHIP WRT1001 WILSON,00263882087297,,OFI,WILSON,ACESSORIOS,0004,,,,,,,,S,,,,2020-04-26T19:59:47.888-0300,SERVICES,2020-04-26T19:59:47.770-0300,2020-02-28T11:15:23.432-0300,,,,,,,,,,0015,CHAMPIONSHIP WRT1001,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,00,323,,,263882087297,,BOLA TENIS WILSON CHAMPIONSHIP WRT1001,R,"0,0",95066100,00050987,N,N,0102,RACKET,NSA,NSA,"48,0",19,0,false,,,,
PRODUCT,00500141003095,00500141003095,>CENT,,0005,,NAO SE APLICA,,,,,,false,,500141003095,500141003095,UND,HALTER CENTAURO,2 KG,1437,EQUIP TREINO,00500141003095,,2KG,CENTAURO,EQUIPAMENTOS,0010,,,,,,,,S,,,,2020-04-26T19:59:48.209-0300,SERVICES,2020-04-26T19:59:48.123-0300,2020-02-28T11:15:23.432-0300,,,,,,,,,,0999,2 KG,,,,,,,,,,,,,,"[{""value"":29.99,""currency"":""USD"",""location"":""usa""}]",,,,00,309,,,500141003095,,HALTERES FERRO CENTAURO 2 KG,R,0.0,95069100,00053402,N,N,0006,PERFORMANCE,NSA,NSA,30.0,19,29.99,false,,,,
PRODUCT,03016726000009,03016726000009,>CENT,,0001,,PRETO,,,,,http://imgcentauro-a.akamaihd.net/900x900/50119302.jpg,false,,501193020009,501193020009,PAR,MEIAO PENALTY,ALGODAO ADU,0251,MEIAO ALGODAO PENALTY ADU PENALTY,03016726000009,,000,PENALTY,MEIAS,0002,,,,,,,,S,,,,2020-10-15T00:00:07.069-0300,FTPBRIDGEPRODUCTS,2020-10-15T00:00:01.115-0300,2020-10-15T00:00:00.829-0300,,,,,,,,,,0081,ALGODAO ADU,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,02,000,,,3016726000009,,MEIAO ALGODAO PENALTY ADU,R,0,6115.10.92,00054070,N,N,0010,FUTEBOL,NSA,OTHER,42,20,0,false,,,,
PRODUCT,00000050364003,00000050364003,>CENT,,0001,,CINZA,,,,,http://imgcentauro-a.akamaihd.net/900x900/50364003.jpg,false,,503640030005,503640030005,PAR,MEIAO HEL FINTA,BOTAFOGO,0251,MEIAO HELANCA FINTA BOTAFOGO FINTA,00000050364003,,000,FINTA,MEIAS,0002,,,,,,,,S,,,,2020-06-22T00:00:00.723-0300,FTPBRIDGEPRODUCTS,2020-06-22T00:00:00.699-0300,2020-06-22T00:00:00.530-0300,,,,,,,,,,0035,BOTAFOGO,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,03,000,,,00000050364003,,MEIAO HELANCA FINTA BOTAFOGO,R,0,6115.10.92,00050045,N,N,0010,FUTEBOL,,OTHER,25,20,0,false,,,,
PRODUCT,03016970000008,03016970000008,>CENT,,0001,,BRANCO,,,,,http://imgcentauro-a.akamaihd.net/900x900/50467601.jpg,false,,504676010009,504676010009,PAR,MEIA ALG WILSON,LOGO KIT,0081,MEIA ALGODAO WILSON LOGO KIT WILSON,03016970000008,,000,WILSON,MEIAS,0002,,,,,,,,S,,,,2020-09-09T00:00:04.626-0300,FTPBRIDGEPRODUCTS,2020-09-09T00:00:04.581-0300,2020-09-09T00:00:04.382-0300,,,,,,,,,,0015,LOGO KIT,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,01,000,,,3016970000008,,MEIA ALGODAO WILSON LOGO KIT,R,0,6115.95.00,00050023,N,N,0109,REMANESCENTE,NSA,OTHER,37,20,0,false,,,,
PRODUCT,03017053000007,03017053000007,>CENT,,0005,,NAO SE APLICA,,,,,http://imgcentauro-a.akamaihd.net/900x900/50499000.jpg,false,,504990000007,504990000007,UND,OCULOS SPEEDO,NATAC N SHARK 18010,0051,OCULOS NATACAO SPEEDO NEW SHARK 18010 SPEEDO,03017053000007,,000,SPEEDO,ACESSORIOS,0004,,,,,,,,S,,,,2020-04-26T20:00:09.631-0300,SERVICES,2020-04-26T20:00:09.474-0300,2020-02-28T11:16:11.462-0300,,,,,,,,,,0107,NATAC N SHARK 18010,,,,,,,,,,,,,,"[{""value"":42.99,""currency"":""USD"",""location"":""usa""}]",,,,00,000,,,3017053000007,,OCULOS NATACAO SPEEDO NEW SHARK 18010,R,"0,0",90049090,00050992,N,N,0100,NATACAO,NSA,NSA,"4,0",20,42.99,false,,,,
PRODUCT,03017689000006,03017689000006,>CENT,,0005,,NAO SE APLICA,,,,,http://imgcentauro-a.akamaihd.net/900x900/50710200.jpg,false,,507102000001,507102000001,UN,OCULOS SPEEDO,NATACAO EVOLUTION IM,0051,OCULOS NATACAO SPEEDO EVOLUTION IMP SPEEDO,03017689000006,,000,SPEEDO,ACESSORIOS,0004,,,,,,,,S,,,,2020-07-04T02:00:07.569-0300,FTPBRIDGEPRODUCTS,2020-07-04T02:00:07.337-0300,2020-07-04T02:00:07.129-0300,,,,,,,,,,0107,NATACAO EVOLUTION IM,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,00,000,,,3017689000006,,OCULOS NATACAO SPEEDO EVOLUTION IMP,R,0,9004.90.90,00050992,N,N,0100,NATACAO,NSA,OTHER,27,20,0,false,,,,
PRODUCT,01491834000004,01491834000004,>CENT,,0001,,NAO SE APLICA,,,,,http://imgcentauro-a.akamaihd.net/900x900/50771300.jpg,false,,507713000001,507713000001,UN,IMPERME PALTERM,SPRAY,1142,IMPERMEABILIZANTE PALTERM SPRAY I PALTERM,01491834000004,,000,PALTERM,ACESSORIOS,0004,,,,,,,,S,,,,2020-09-09T00:00:05.130-0300,FTPBRIDGEPRODUCTS,2020-09-09T00:00:04.641-0300,2020-09-09T00:00:04.382-0300,,,,,,,,,,1085,SPRAY,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,00,000,,,1491834000004,,IMPERMEABILIZANTE PALTERM SPRAY I,R,0,3809.93.19,00050056,N,N,0109,REMANESCENTE,NSA,OTHER,37,20,0,false,,,,
