Retail_SOHStoreNumber;Retail_SOHSKU;Retail_SOHQTY
9999999;8907200000;2
9999999;9020470001;1
9999999;9216240000;2
9999999;919670000;2
9999999;8907170000;2
9999999;9175280000;3
9999999;9082880001;2
9999999;9220210001;1
9999999;9032660000;1
9999999;9021570001;1
9999999;8866930000;1
9999999;9190010000;1
9999999;8907160000;1
9999999;9032610000;2
9999999;9230710001;1
9999999;9222930001;1
9999999;965420001;1
9999999;906610001;1
9999999;9200540000;3
9999999;8771030000;1
9999999;9100730001;1
9999999;9021650001;1
9999999;8813340000;3
9999999;8974100000;4
9999999;8176470000;2
9999999;919630000;2
9999999;8711570000;1
9999999;9122950001;1
9999999;8813450000;4
9999999;919680000;1
9999999;9223050001;2
9999999;9160610001;1
9999999;8813370000;4
9999999;9071510000;1
