Thing Type Code,Thing Serial,Thing Name,Owner Group,Alias Config,Retail_ClassCode,Retail_ClassName,Retail_Color,Retail_DepartmentName,Retail_DepartmentCode,Retail_Dimension,Retail_ExternalSKU,Retail_ImageURL,Retail_IsRFID,Retail_Manufacturer,Retail_SKU,Retail_SKUOriginal,Retail_UOM,Retail_SKUDescription,Retail_Style,Retail_SubClassCode,Retail_SubClassName,Retail_GTIN,Retail_CompanyPrefix,Retail_Size,Retail_Brand,Retail_BusinessGroupName,Retail_BusinessGroupCode,Retail_SalesFloorTargetQty,Retail_FloorPadDesc,Retail_FloorPadID,Retail_GTINPosition_3_7,Retail_RangeActiveInd,Retail_RangeEnd,Retail_RangeStart,Retail_Active,Retail_PutAwayCode,Retail_BoxID,Retail_WideorRegularInd,tsMongoIn,source,tsCoreIn,tsEdgeIn,ViZix_Unused,Retail_MajorClassId,Retail_CustomerStyleId,Retail_MajorClassCode,Retail_MajorClassName,Retail_GTINPosition_2_8,Retail_GTINPosition_9_13,Retail_UPCNumber,Retail_FileName,Retail_Brand_Code,Retail_Style_Code,Retail_Weight_Gross_Unit,Retail_Weight_Gross_Value,Retail_Weight_Net_Unit,Retail_Weight_Net_Value,Retail_Update_Time,Retail_Option_Code,Retail_Option_Label,Retail_Season_Code,Retail_Season_Label,Retail_Season_Madein_Code,Retail_Season_Madein_Label,Retail_Mate_Bundle,Retail_Extension,Retail_Price,Retail_VPN,Retail_Product_Code,Retail_Recommendations,Retail_Color_Code,Retail_Size_Code,Retail_ImageURLDesktop,Retail_ImageURLMobile,minLifespanFromArrival,minLifespanFromProduction,minLifespanFromTimeOfPacking,expiringDaysBeforeExpiration,Retail_PriceOriginal,Retail_GTINOriginal,Retail_SKUDescriptionFull
PRODUCT,99999999999997,Default GIAI Product,>QAIKEA2,,,GIAI Family,NA,,,NA,,,false,,99999999999997,99999999999997,,Individual asset,NA,Individual asset,Individual asset,99999999999997,,NA,NA,GIAI Department,GIAI Department,,,,,,,,X1avs,,,,2021-05-13T12:27:43.998-0400,SERVICES,2021-05-13T12:27:43.784-0400,2021-05-13T12:27:43.678-0400,,,,,,,,99999999999997,,NA,,,,,,,,,,,,,,"{""protectedOperationsAllowed"": ""CREATE,UPDATE""}","[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,99999999999997,,NA,NA,,,,,,,1,99999999999997,Individual asset
PRODUCT,00635910000484,00635910000484,>QAIKEA2,,,Fruits/Vegetables,GREEN,,,,,,false,,00635910000484,00635910000484,,0484,Fresh Sliced Apples,0484,Fruits/Vegetables0484,00635910000484,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.756-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.565-0400,2021-04-16T11:41:00.158-0400,,,,,,,,00635910000484,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00635910000484,Fruits/Vegetables0484
PRODUCT,00093966005691,00093966005691,>QAIKEA2,,,Sauces,GREEN,,,,,,false,,00093966005691,00093966005691,,5691,Organic Valley 1% Single Serve 24 Pack,5691,Sauces5691,00093966005691,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.612-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.455-0400,2021-04-16T11:41:00.157-0400,,,,,,,,00093966005691,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00093966005691,Sauces5691
PRODUCT,00399820164338,00399820164338,>QAIKEA2,,,Supplies,GREEN,,,,,,false,,00399820164338,00399820164338,,4338,511007PCMG- Kids meal lid,4338,Supplies4338,00399820164338,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.772-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.645-0400,2021-04-16T11:41:00.158-0400,,,,,,,,00399820164338,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00399820164338,Supplies4338
PRODUCT,00097111245079,00097111245079,>QAIKEA2,,,Supplies,GREEN,,,,,,false,,00097111245079,00097111245079,,5079,DW Finepack - Straws,5079,Supplies5079,00097111245079,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:33.703-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.569-0400,2021-04-16T11:41:00.157-0400,,,,,,,,00097111245079,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00097111245079,Supplies5079
PRODUCT,00399820026728,00399820026728,>QAIKEA2,,,Supplies,GREEN,,,,,,false,,00399820026728,00399820026728,,6728,51080A50- 64oz. round cater bowl lid,6728,Supplies6728,00399820026728,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.641-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.483-0400,2021-04-16T11:41:00.157-0400,,,,,,,,00399820026728,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00399820026728,Supplies6728
PRODUCT,00097111974689,00097111974689,>QAIKEA2,,,Supplies,GREEN,,,,,,false,,00097111974689,00097111974689,,4689,Chipotle Spoon PP/1500 ct.,4689,Supplies4689,00097111974689,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.604-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.440-0400,2021-04-16T11:41:00.157-0400,,,,,,,,00097111974689,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00097111974689,Supplies4689
PRODUCT,00097111974719,00097111974719,>QAIKEA2,,,Supplies,GREEN,,,,,,false,,00097111974719,00097111974719,,4719,Chipotle Knife PP/1500 ct.,4719,Supplies4719,00097111974719,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.611-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.440-0400,2021-04-16T11:41:00.157-0400,,,,,,,,00097111974719,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00097111974719,Supplies4719
PRODUCT,00089991013695,00089991013695,>QAIKEA2,,,Meat/Poultry,GREEN,,,,,,false,,00089991013695,00089991013695,,3695,Freebird boneless skinless chicken leg,3695,Meat/Poultry3695,00089991013695,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.632-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.530-0400,2021-04-16T11:41:00.156-0400,,,,,,,,00089991013695,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00089991013695,Meat/Poultry3695
PRODUCT,00399820027190,00399820027190,>QAIKEA2,,,Supplies,GREEN,,,,,,false,,00399820027190,00399820027190,,7190,52032T300- 32oz. round cater bowl lid,7190,Supplies7190,00399820027190,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.695-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.566-0400,2021-04-16T11:41:00.157-0400,,,,,,,,00399820027190,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00399820027190,Supplies7190
